id;title;description;availability;product_type;google_product_category;condition;price;link;image_link;brand;sale_price;mpn
7299;"Extensii gene Raze Mix - Spike Kim K Lashes";;134;"Shop>FALSE EYELASHES →>Brands Filter →>Orzelowska/Pink";469;new;"38.90 RON";https://pinklashes.ro/en/eyelash-extension-spike-kim-k-lash.html;https://https://pinklashes.ro/30721-large_default/eyelash-extension-spike-kim-k-lash.jpg;59718;"28.90 RON";59718
7349;"Patch-uri lucioase cu gel, Roz, plasturi profesionali pentru extensii de gene,Set 50 bucati";"Set de 50 bucati, Patch-uri cu gel.
Padurile sunt perfecte pentru izolarea genelor inferioare.";534;"Shop>Accessories>Tape & Eyepads";469;new;"30.00 RON";https://pinklashes.ro/en/tape-eyepads/pink-professional-under-eye-pads-for-lash-extensions-gel-eye-patch-lash-extensions-50-pcs.html;https://https://pinklashes.ro/31625-large_default/pink-professional-under-eye-pads-for-lash-extensions-gel-eye-patch-lash-extensions-50-pcs.jpg;88890;"19.90 RON";88890
7350;"Rola hartie micropore - banda alba scotch pentru izolarea genelor inferioare";"Lungime: 9 m Latime: 1.2 cm";0;"Shop>Accessories>Tape & Eyepads";469;new;"9.00 RON";https://pinklashes.ro/en/tape-eyepads/micropore-paper-white-tape-for-isolation.html;https://https://pinklashes.ro/31642-large_default/micropore-paper-white-tape-for-isolation.jpg;94547;"9.00 RON";94547
7351;"Japanese style Rola folie & micropore - Banda alba pentru izolarea genelor inferioare";"Lungime: 9 m Latime: 1.2 cm";754;"Shop>Accessories>Tape & Eyepads";469;new;"9.00 RON";https://pinklashes.ro/en/tape-eyepads/japanese-style-foil-micropore-white-tape-for-eyelash-extensions.html;https://https://pinklashes.ro/31637-large_default/japanese-style-foil-micropore-white-tape-for-eyelash-extensions.jpg;17131;"9.00 RON";17131
7352;"Rola profesionala, Banda scotch pentru extensii de gene, 40% din folie si 60 % din hartie";"Scotch de hartie pentru extensii de gene este foarte folositoare pentru izolarea genelor inferioare. Poate inlocui sticker-ul pentru adeziv pe piatra jad.";195;"Shop>Accessories>Tape & Eyepads";469;new;"7.00 RON";https://pinklashes.ro/en/tape-eyepads/professional-tape-for-eyelash-extension-40-foil-and-60-paper.html;https://https://pinklashes.ro/31644-large_default/professional-tape-for-eyelash-extension-40-foil-and-60-paper.jpg;40719;"7.00 RON";40719
7353;"Banda spuma, Rola scotch pentru izolarea genelor inferioare, 5m, pentru extensii gene";"Aceasta banda scotch este excelenta pentru a fi utilizata in timpul procedurii de aplicare a extensiilor de gene. ";163;"Shop>Accessories>Tape & Eyepads";469;new;"22.90 RON";https://pinklashes.ro/en/tape-eyepads/foam-tape-for-isolating-the-lower-eyelashes-5m-for-eyelash-extensions.html;https://https://pinklashes.ro/34373-large_default/foam-tape-for-isolating-the-lower-eyelashes-5m-for-eyelash-extensions.jpg;76469;"14.80 RON";76469
7354;"Asigurare colet pentru livrări in strainatate in cazul pierderii coletului";;78;"Package insurance";469;new;"14.75 RON";https://pinklashes.ro/en/package-insurance/courier-delivery-insurance-in-case-of-lost-package.html;https://https://pinklashes.ro/33079-large_default/courier-delivery-insurance-in-case-of-lost-package.jpg;42468;"14.75 RON";42468
7355;"Banda medicala, Rola scotch pentru izolarea genelor inferioare, pentru extensii de gene, non woven tape";"Banda medicala se aplica pe pleoapa pentru a izola sau proteja genele in timpul procedurii de aplicare a extensiilor de gene.";640;"Shop>Accessories>Tape & Eyepads";469;new;"5.00 RON";https://pinklashes.ro/en/tape-eyepads/medical-tape-for-isolating-the-lower-eyelashes-for-eyelash-extensions-non-woven-tape.html;https://https://pinklashes.ro/33798-large_default/medical-tape-for-isolating-the-lower-eyelashes-for-eyelash-extensions-non-woven-tape.jpg;06648;"5.00 RON";06648
7356;"Rola Micropore, Banda scotch groasa, pentru izolarea genelor inferioare, pentru extensii gene";"Lungime : 9 m Latime: 1.2 cm";4396;"Shop>Accessories>Tape & Eyepads";469;new;"7.00 RON";https://pinklashes.ro/en/tape-eyepads/thick-paper-tape-for-isolating-the-lower-eyelashes-micropore-tape-for-eyelash-extensions.html;https://https://pinklashes.ro/31197-large_default/thick-paper-tape-for-isolating-the-lower-eyelashes-micropore-tape-for-eyelash-extensions.jpg;69104;"7.00 RON";69104
7357;"Patch-uri lucioase cu Hidrogel pentru izolarea genelor inferioare, Set 50 bucati";"Padurile sunt perfecte pentru izolarea genelor inferioare.Pachet de 50 buc.";862;"Shop>Accessories>Tape & Eyepads";469;new;"34.99 RON";https://pinklashes.ro/en/tape-eyepads/50-pcs-hydrogel-eye-patch-professional-under-eye-pads-for-lash-extensions.html;https://https://pinklashes.ro/30931-large_default/50-pcs-hydrogel-eye-patch-professional-under-eye-pads-for-lash-extensions.jpg;77791;"34.99 RON";77791
